Name,CAS No.,C1,C2,C3,C4,T_ref [K],T_ci [K]
Benzene,71-43-2,4.75,0.45238,0.0534,-0.1181,353.25,562
Toluene,108-88-3,5.0144,0.3859,0.,0.,383.75,591.79
